age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
[17-17],Private,10th,[6-6],Never-married,Other-service,Own-child,White,Male,[12-40],United-States,<=50K
[17-17],Self-emp-inc,10th,[6-6],Never-married,Craft-repair,Own-child,White,Male,[12-40],United-States,<=50K
[17-18],Private,11th,[7-7],Never-married,Sales,Own-child,White,Female,[20-30],United-States,<=50K
[17-18],Private,11th,[7-7],Never-married,Handlers-cleaners,Own-child,White,Male,[20-30],United-States,<=50K
[19-19],Private,HS-grad,[9-9],Never-married,Sales,Unmarried,Black,Female,[30-60],United-States,<=50K
[19-19],Private,HS-grad,[9-9],Never-married,Handlers-cleaners,Other-relative,Other,Female,[30-60],Guatemala,<=50K
[20-20],Private,HS-grad,[9-10],Never-married,Machine-op-inspct,Other-relative,White,Female,[40-40],United-States,<=50K
[20-20],Private,Some-college,[9-10],Never-married,Handlers-cleaners,Own-child,White,Male,[40-40],United-States,<=50K
[20-20],Private,Some-college,[9-10],Never-married,Machine-op-inspct,Own-child,White,Female,[40-40],United-States,<=50K
[20-21],Private,HS-grad,[9-10],Never-married,Other-service,Own-child,White,Male,[40-40],United-States,<=50K
[20-21],Local-gov,Some-college,[9-10],Never-married,Adm-clerical,Own-child,White,Male,[40-40],United-States,<=50K
[21-21],Private,HS-grad,[9-10],Never-married,Adm-clerical,Own-child,White,Female,[40-40],Cuba,<=50K
[21-21],Private,Some-college,[9-10],Never-married,Other-service,Not-in-family,White,Female,[40-40],United-States,<=50K
[21-21],Private,Some-college,[9-10],Never-married,Other-service,Own-child,White,Male,[24-28],United-States,<=50K
[21-21],Private,HS-grad,[9-10],Never-married,Other-service,Not-in-family,White,Female,[24-28],United-States,<=50K
[22-22],Private,12th,[3-9],Never-married,Transport-moving,Unmarried,White,Male,[30-40],United-States,<=50K
[22-22],Private,5th-6th,[3-9],Married-civ-spouse,Machine-op-inspct,Other-relative,White,Female,[30-40],Mexico,<=50K
[22-22],Private,HS-grad,[3-9],Never-married,Transport-moving,Own-child,White,Male,[30-40],United-States,<=50K
[22-23],Private,HS-grad,[9-9],Never-married,Craft-repair,Own-child,White,Female,[40-44],United-States,<=50K
[22-23],Private,HS-grad,[9-9],Divorced,Handlers-cleaners,Own-child,White,Male,[40-44],United-States,<=50K
[23-23],Private,HS-grad,[9-9],Never-married,Handlers-cleaners,Own-child,White,Male,[25-40],United-States,<=50K
[23-23],Private,HS-grad,[9-9],Never-married,Craft-repair,Other-relative,White,Male,[25-40],United-States,<=50K
[23-23],Private,Some-college,[10-10],Never-married,Protective-serv,Own-child,White,Male,[40-40],Mexico,<=50K
[23-23],Private,Some-college,[10-10],Never-married,Craft-repair,Own-child,White,Male,[40-40],United-States,<=50K
[23-24],Private,Some-college,[10-10],Never-married,Other-service,Own-child,White,Male,[20-60],Canada,<=50K
[23-24],Private,Some-college,[10-10],Never-married,Sales,Own-child,Asian-Pac-Islander,Female,[20-60],United-States,<=50K
[23-24],Self-emp-not-inc,Some-college,[10-10],Married-civ-spouse,Transport-moving,Husband,White,Male,[20-60],United-States,<=50K
[24-24],Private,Assoc-acdm,[12-13],Never-married,Sales,Own-child,White,Male,[20-35],United-States,<=50K
[24-24],Private,Bachelors,[12-13],Never-married,Tech-support,Not-in-family,White,Male,[20-35],United-States,<=50K
[24-24],Private,HS-grad,[9-13],Never-married,Other-service,Own-child,Black,Male,[30-60],United-States,<=50K
[24-24],Private,Bachelors,[9-13],Never-married,Farming-fishing,Own-child,White,Female,[30-60],United-States,<=50K
[24-24],Local-gov,Some-college,[9-13],Separated,Protective-serv,Not-in-family,White,Male,[30-60],United-States,<=50K
[24-24],Private,Assoc-voc,[9-11],Married-civ-spouse,Craft-repair,Husband,White,Male,[40-45],United-States,<=50K
[24-24],Private,HS-grad,[9-11],Never-married,Machine-op-inspct,Other-relative,Black,Male,[40-45],United-States,<=50K
[24-25],Self-emp-not-inc,Assoc-acdm,[9-13],Married-civ-spouse,Adm-clerical,Wife,White,Female,[35-60],United-States,>50K
[24-25],Private,HS-grad,[9-13],Married-civ-spouse,Exec-managerial,Husband,White,Male,[35-60],United-States,<=50K
